question,answer
客户有社保，是否社保赔完后再用本保险赔付？,本保险保障社保范围内医疗费用，如果客户从社保已获得部分赔偿，本保险承担剩余部分。
本保险的住院津贴责任有哪些限制？,保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起一百八十日内因该事故在释义医院住院治疗，保险人就被保险人的合理住院天数，按照50元/天的误工津贴日额给付误工津贴保险金。被保险人因意外伤害事故一次住院治疗的，保险人给付误工津贴保险金天数以六十天为限；被保险人因同一原因间歇性住院，前次出院与后次入院日期间隔未超过九十天（含九十天）的，视为一次住院治疗。 被保险人无论一次或多次遭受意外伤害事故进行住院治疗，保险人均按上述规定分别给付误工津贴保险金，但对被保险人累计给付天数以九十天为限。
为什么要记录常住地？,A：意外、个人责任、医疗只承担在常住地市级城市之外的保险事故，家财只承保常住地的日常居住房屋，因此需要逐个被保险人记录常住地。
单次出行不超过20天，理赔时该如何证明？,A：发生保险事故时，需要提交从常住地出发的出行证明，如机票、登机牌、火车票、酒店住宿发票、高速公路过路费等证明资料。
如果保险期间因为工作变动更换常住地，该怎么办？,A:若发生保险事故，理赔时需提交工作变动、搬家及其他能证明变更常住地的证明资料。
本产品是否保证续保？,本产品遵循不保证续保条款，保险期间届满，投保人需要重新向保险人申请投保本产品，经保险人同意，交纳保险费，获得新的保险合同。 若发生下列情形之一的，本产品不再接受续保： （一）本产品统一停售； （二）被保险人超过投保人与保险人在保险合同中约定的投保年龄范围； （三）被保险人身故； （四）投保人对于保险人就投保人或者被保险人的有关情况提出的询问未履行如实告知义务，足以影响保险人决定是否同意承保的； （五）被保险人不符合投保条件或存在欺诈情形的。
升级的一般医疗服务续保时会延续吗？,延续，每年续保后赠送体检，续年体检结果不影响一般医疗保障；
一般医疗重疾和恶性肿瘤医疗的0免赔额是否共享？,恶性肿瘤医疗为0免赔，升级到一般医疗及重疾医疗后，其中的重疾医疗也是0免赔。
体检结果有问题怎么办？,体检结果仅会影响是否升级一般医疗保障。如果体检结果有问题，我们无法为客户提供升级保障。但体检结果不会影响恶性肿瘤保障，除非发现客户存在未如实告知的情况。
首次投保放弃体检，次年续保是否可以通过体检进行升级？,如果首年放弃，次年续保不可再通过体检升级。
如何区分哪些体检指标会影响到客户升级一般医疗责任？,核保结论不是单纯对一个或几个生化指标进行评价，而是对身体情况进行综合评估得出核保结论，如实进行健康告知，如期进行体检，可以极大避免客户与保险公司的风险（部分老年人血压值放宽至150、95，糖化血红蛋白值放宽至7%）
所在城市没有体检机构怎么办,承保30天后可电话联系4006-898-761，我公司的供应商将进行个案处理，安排客户至符合标准体检机构进行体检。
房产证写的是我父母的名字，房子是自己和家人在住，是否可以买,可以投保，在此情况下，建议被保险人写父母的名字。
我住楼下，楼上邻居家水（暖）管爆裂，渗水破坏了家里的地板家,在水暖管爆裂损失范围内，除A款方案外，均可理赔。
如果家里被偷了，电器什么的都要提供发票。如果发票都没了怎么办,如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。
安装在房屋外的空调器和太阳能热水器等家用电器的室外设备如果,可以理赔，是在家庭财产保险承保范围内。
安装在房屋外的空调器和太阳能热水器等家用电器的室外设备发生意外怎么办,在居家责任承保范围内，除A款方案外，均可理赔。
家中保姆在打扫卫生时不慎将茶几上的花瓶打碎，是否可以理赔？,在家政人员失职财产损失承保范围内，购买E款方案可以理赔。
临时住宿费用保障的是什么场景的损失？,发生《平安家庭财产保险条款》中的保险责任事故导致房屋无法居住时，如火灾、爆炸、台风、暴雨、外界物体倒塌等，因此产生的临时住宿费用，购买E款方案可以理赔。
新保是否有等待期？续保是否有等待期？,新保客户保险起期T+6天。通过续保短信、业务员转发出去的续保链接、自动续保扣款等续保通道进来的续保客户，投保后保险期限自动延续，无等待期。
赔偿从什么时候开始？,本产品等待期为30天。即在保险合同起期后30天出现的常规疾病及意外受伤，属于本产品的赔偿范围。保险合同起期前及等待期期间出险的症状都不在赔偿范围内。
我可以同时投保多个套餐吗？或者同一套餐多买几份？,一只宠物只能投保一份保险，多投无效。
投保了爱宠医保后，保险期间内可以变更套餐吗？,保险期间内您不可变更套餐，除非您将原产品退保，再购买新的套餐，但此类情况不属于续保，不适用于续保无等待期的约定，即您的宠物医疗保障将从保单约定的等待期后重新开始。
我的宠物超过保险的承保年龄后，还能续保吗？,保险的承保年龄适用于首次投保的情况，续保不受年龄限制。但若您的宠物未持续续保，那么您再次投保时，我们将默认您为首次投保用户，若此时您的宠物已经超过了8岁，那么您将失去投保资格。
在哪些医院治疗，可以获得理赔？,医院须为我国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。
什么是等待期，等待期从何时算起？,自保险合同生效日起30日内为等待期。被保险人在保险期限开始前或等待期内罹患的疾病，我们不承担给付保险金的责任。
我怎么才可以申请特药服务？,在本保险产品合同保险期间内，被保险人于等待期后初次发生并经约定医院确诊符合条款【释义】的恶性肿瘤，在该恶性肿瘤的治疗过程中，约定医院专科医生开具了指定的药品清单范围内的药品处方，且该特种药品符合国家药品监督管理局批准的药品说明书中所列明的适应症及用法用量的，可以申请特药服务，在本公司指定或认可的药店购买上述药品处方中所列明的药品。
我需要准备哪些材料？,服务申请成功后，会有服务专员联系您并协助您走服务流程的。
相对比传统的放化疗，特药靶向治疗有什么优点？,一、副作用小，相比于常规的放疗和化疗，靶向治疗有的放矢，毒副作用较小，尤其适用于晚期病人或无法耐受放、化疗的患者；二、针对性强，靶向药物进入体内会特异性地选择致癌位点来相结合发生作用，使肿瘤细胞特异性死亡；三、使用便捷，部分靶向药物为口服药物，服用方便，无需住院，服用过程中随时联系医生反馈，及时调整药量，避免长期反复入院，可减轻患者负担。
通常有哪些情况特药处方申请审核不通过？,通常在有下列情况时，处方审核不通过：一药品处方与国家药监局批准的药品说明书中的适应症及用法用量不一致；二客户使用处方药品有一段时间，确定对该药品已经耐药，包括以下两种情况之一：1实体肿瘤病灶按照实体瘤治疗疗效评价标准出现疾病进展。2非实体肿瘤（白血病等恶性肿瘤）经规范治疗后，按相关专业机构（中国临床肿瘤学会等）的指南规范，对患者的特定基因检测等结果进行综合评价，出现疾病进展。
指定的药房能覆盖到我所在的城市吗？,本公司指定的合作药房覆盖了30个省份，250个城市，并且支持通过送药上门的方式进行药品配送，满足所有地区的药品供应。
如果出行时间在20点前，但意外发生时间在20点后是否赔付？,可以赔付。
如果被坏人侵犯是否可以理赔？,可以赔付。
E生平安.医疗险在哪些医院治疗，可以获得理赔？,在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受住院、住院前7天后30天门急诊、特殊门诊、门诊手术治疗的，可以报销个人支付的、必要且合理的医疗费用。
E生平安.医疗险等待期是多久？,E生平安.医疗险的一般医疗费用保险责任、重大疾病医疗费用保险责任、特殊门诊诊疗费用及门诊手术医疗费用保险责任和质子重离子医疗费用保险责任等待期30天，意外伤害及续保无等待期，重大疾病保险责任等待期为90天。
投保前已经发生的疾病住院，或即将有住院意向是否可以理赔？,投保前已出现健康告知中列明的情况，必须全部如实告知，若未如实告知，将无法获得赔付。
什么是犹豫期？,保单承保次日起，有10日的犹豫期。在此期间，若提出解除本主险合同，我们将无息退还您所支付的全部保险费。
保单生效日？,投保成功后，次日零时。
投、被保人关系？,目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。
是否可以多次购买？,否，同一被保险人在一个保单年度，只能购买一次。
投保前已经发生的疾病是否可以理赔？,本产品不承担投保前疾病。
质子重离子赔哪些责任？,质子重离子放射治疗而发生的相关费用，包括膳食费、护理费、医生费、检查检验费、治疗费、药品费100%赔付；但本项责任下不包括化学疗法、放射疗法、肿瘤免疫疗法、肿瘤内分泌疗法和肿瘤靶向疗法所产生的医疗费用。
等待期是多久？,E生平安·医疗险的一般医疗费用保险责任、重大疾病医疗费用保险责任、特殊门诊诊疗费用及门诊手术医疗费用保险责任和质子重离子医疗费用保险责任等待期30天，意外伤害及续保无等待期，重大疾病保险责任等待期为90天。
该产品有免赔额吗？,本产品的各项保险责任每次事故绝对免赔额均为1000元，超过1000元的部分满足理赔条件时可以赔付。
如果家里被偷，电器什么的都要提供发票。如果发票都没了怎么办？,如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。
水暖管爆裂是否在赔付范围？,本产品有三个套餐可以选择，每个套餐均含有水暖管爆裂保障责任。
保费的支付方式，以及保险单证、保费发票等凭证的送达方式。,保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。
宠物治疗对医院有限制吗？,被保险宠物的所有治疗（包括绝育手术）被保险宠物须前往保险人合作宠物医疗机构进行治疗，未经保险人同意，不在合作宠物医疗机构治疗的，将无法获得赔偿。
在购买保险前做的绝育手术引发的并发症是否可赔付？,本保险仅承保在保险期间内进行绝育手术所引起的死亡或并发症导致的治疗费用，在购买保险前进行的绝育手术引发的并发症，本保险不负责赔偿。
绝育手术费用是否可以赔付？,绝育手术费用，包括术前检查、麻醉、手术费、药品、仪器、挂号、及术后护理（止痛消炎、创口护理、住院等）等手术本身包含的非并发症治疗费用，本保险不负责赔偿。
买完保险宠物马上生病了，可否申请赔付呢？,不可以，本产品首次投保30天等待期（含意外和疾病），续保无等待期
投保后，赔偿从什么时候开始？,本产品宠物医疗健康保险责任首次投保的等待期为30天，保险合同生效前和生效后等待期内已存在的疾病或症状，本保险不承担赔偿责任。
投保了平安宠物暖心保后，保险期间内可以变更套餐吗？,保险期间内您不可变更套餐，套餐的变更只能在续保时申请，不能在保险期间内变更 。
我前往可以直赔的平安严选医院接受治疗，具体流程是怎样的呢？需要带什么材料吗？,您可将保单号和投保人手机号告知医院前台服务人员，前台会告知您剩余可理赔的次数。在您结束治疗后，平安会自动理算保险可覆盖的金额，您只要支付属于您的那部分费用，您即可离开医院。
意外伤害包含哪些？猝死及传染病身故属于意外伤害吗？,意外伤害指以外来的、突发的、非本意的和非疾病的客观事件为直接且单独的原因致使身体受到的伤害。自然死亡、疾病死亡、猝死、自杀及自伤均不属于意外伤害。
因保单载明的意外伤害就医，理赔时对医院有什么限制吗？,医院需为经中华人民共和国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。
保险意外责任范围是什么？,在保险期间内，被保险人以乘客身份乘坐商业营运的火车、轮船、汽车期间因遭受意外伤害事故导致身故、伤残或医疗费用支出的，我司依照保险合同约定金额承担全部或部分责任，且身故保险金和伤残保险金累计给付不超过各项意外伤害保险金额，医疗保险金累计给付不超过意外伤害医疗保险金额。
