question,answer
平安车主卡在APP加油能否享受88折优惠,您好，平安车主卡在平安好车主APP使用优惠加油可以享受88折优惠，但仅限团油、滴滴、帮油网等3个供应商所属的油站能享受。
开票失败如何处理,您好，若无法开具电子发票，请您提供报错页面截图和手机号，提交专员核实处理。
保险生效时间是什么时候,您好，车险、意外险等险种的生效时间是填写投保信息时选择的生效日期当天零时，续保客户保单生效时间是与上一年度保单到期时间衔接的；健康险的生效日期是等待期过后的次日零时。若已投保可点击 电子保单 查询。
为何活动只给1积分？,非常感谢您参与我们的活动，积分奖励是随机发放的，数量不固定。
如何更改投保城市,您好，若您今年需要修改投保城市，可点击 车险报价 →车牌右侧?→投保城市，修改即可，调整投保城市后重新进行报价。★温馨提醒：?若无法修改，可联系专属客户经理协助处理。
车险无法报价的原因,您好，车险无法报价一般有以下几种情况：1、您选择的报价方案未通过：您可点击报价页面“修改方案”进入险种选择页面调整方案；2、投保所在地不支持异地投保：您可联系专属客户经理核实投保所在地的投保规则；3、当日报价次数过多：当日报价次数最多为5次，请您明天再来报价；4、车险未到提前续保时间：全国大部分地区车险仅支持提前30天续保，建议您过段时间再来报价。
APP客服热线,您好，目前APP没有单独的热线电话，有任何问题，您可以咨询安安哦~
话费充值失败,"您好，话费充值订单显示为充值失败、订单关闭时有以下几种情况：

1、话费充值需在15分钟内完成支付，若超出15分钟订单会失效，显示支付失败，使用的卡券也会同步退回您的账户中，您可以换个时段再来充值；
2、充值号码为虚拟号段或者携号转网，APP暂不支持充值。

★温馨提醒：
若非以上问题，可拨打合作商家客服电话咨询，杭州润升：0571-87022641或4006618993，湖北宽通：4001561880。"
车辆年审时间查询,"您好，您可通过APP底部→享服务→ 年检代办 →本次年检期，即可查询年检时间。

★温馨提醒：
机动车辆年审时间以行驶证副本盖章的日期为准，如有疑问请联系当地车管所确认。"
如何领取年审标志,您好，目前平安好车主已开通年检代办服务，可通过APP首页→享服务→ 年检代办 ，即可申请，如不符合条件要求，可自行前往车管所及部分交通队申领年检标志。
能否查询客户号码,"您好，因保单联系电话（投保人及被保险人）属于个人隐私范畴，为了保障客户的信息安全，不支持查询，敬请您谅解。

★温馨提醒： 
如有需要联系车主挪车或其他问题，您可尝试联系物业、或拨打查号台：114协助， 感谢您的理解。"
兑换专区进入途径,安安不太明白您的意思，要不您换个问法再试试，或许安安就能明白啦！
更改APP实名认证,您好，更改APP实名认证的方式如下：1、若当前未绑定银行卡：您可通过平安好车主底部【我的】→左上角头像→ 实名认证 →银行卡验证，进行绑卡，绑定成功后实名信息即改为银行卡持卡人；2、若已经绑定银行卡：您可提供身份证、银行卡等信息提交专员核实处理哦。
能否为他人代办保险,"您好，为他人代办保险方式如下：

1、车险：经车主授权后，您可为他人购买车险；
2、非车险：允许他人代办，但人身保险的投保人在保险合同订立时，对被保险人应当具有保险利益，不允许不具有可保利益的人代办。针对未成年人，投保人只能是其父母或法定监护人。

★温馨提醒：
全国正陆续实行车险实名制缴费，这些城市：投保人=付款人=车主。 其他城市车险保单上的被保险人和行驶证车主可以为不同的人，详情可投保时咨询您的专属客户经理。"
怎么找我的专属客户经理,您好，可拨打95511语音报出“找坐席”根据语音提示操作，或拨打95511先按#再按4再按2再按1，即可找到客户经理。
为什么客服电话打不通,您好，客服热线忙碌或回拨出现打不通的情况，您可先咨询安安，无需等待。若您确实需要电话服务，建议稍后再拨打客服电话，感谢您的信任。
车管所、交警队、税务局等上班时间,"您好，车管所、交通部门、税务局等属于国家机关。国家党政机关一般工作时间是周一至周五，上午9点—12点；下午14点—17点。 

★温馨提醒：
此信息仅供参考，具体以当地现有规定为准。"
如何更改APP登录账号,"您好，更改登录账号可以分为切换登录账号和修改登录账号：

1、切换登录账号：您可通过APP底部→我的→设置→退出登录，切换其他账号登录即可；
2、修改登录账号：若更换了新手机号，可在原登录账号中解绑车辆，在新账号中绑车即可。

★温馨提醒：
更改登录账号后，原账号积分和福利不会转移到新账号，请谨慎操作。"
报案后理赔材料上传时效,"您好，报案后理赔所需材料可选择先上传一部分，后续再补充缺失部分；也可选择一次性上传，但需在案件结算前全部上传。

★温馨提醒：
若本次理赔在保险到期后仍未结束，仍可继续上传理赔材料，若有其他疑问可联系审核人员人工协助上传资料。"
给我来个电话,非常抱歉，安安无法直接给您回电话，找您的专属客户经理，可拨打95511语音报出“找坐席”就可以自动为您转接啦~
投保是否有活动,您好，您可通过买车险页面参与 分享有礼 活动，其他活动可联系您的专属客户经理咨询。
服务地址,
如何取消已兑换的订单,"您好，您可通过APP底部→我的→ 我的订单 ，取消已兑换订单。

★温馨提醒：
1、服务商品非商家质量问题不允许退货；
2、已收到实物，退换货需确保商品全新包装齐全，可申请退换货；
3、会员类、充值类卡券兑换后无法申请退回。"
优惠加油支付一直提示错误,"您好，优惠加油之后发起支付一直提示支付错误不成功的原因如下：

1、支付时网络状况不好，操作太频繁：建议您关闭后重新打开一下网络或者卸载重装，重启，关机退出后重新登录；操作稍微慢一些；
2、微信未升级到最新版本：建议您尝试使用支付宝来进行支付；
3、如果以上方法都不行，您可拉到油站页面底部，电话联系供应商为您处理。"
如何取消投保订单,"您好，您可通过以下方式取消投保订单：

1、若您的保单还没有支付保费，可点击 我的订单 →选择您需要删除的订单，点击“删除订单”即可；
2、若已经支付保费，可点击 信息修改 →选择险种→退保，按页面信息操作即可。"
福利券车牌与实际车牌不一致,您好，服务卡券上的车牌与实际车牌不一致，建议您联系专属客户经理核实处理。
兑换专区查询订单及物流详情,您好，您可进入APP底部→我的→ 我的订单 ，即可查看订单详情及物流信息。
没买保险为何自动扣费,"您好，您可以通过平安好车主首页APP→ 查保单 →查看您名下所有保单，是否有开通了自动续保，若有开通，则保险公司会按照保单约定时间自动扣费。

★温馨提醒：
目前平台暂支持查询在平安产险投保的个人车险保单和部分意健险保单，其他保险可拨打95511核实。"
如何购买保险,
保养服务预约说明,您好，您可通过 我的卡券 进入，选择【对应卡券】查看服务网点信息（商家地址、电话等），联系网点处理。
能否取消车险专属保障,"您好，若不需要车险中的其他险种推荐，可通过报价页面点击对应险种取消即可。

★温馨提醒：
已提交的订单可通过 我的订单 →修改订单，进入报价页面取消。若有疑问请联系专属客服处理。"
用户问题类型为车牌,
保养服务地址查询,您好，若您有保养卡券，可通过APP底部→我的→ 我的卡券 →选择对应卡券，即可查看保养网点地址，其它保养地址可点击下方图片查看。
无法投保车险的原因,您好，无法在线投保车险的原因如下：1、部分地区对提前投保车险的天数有所限制，如未在投保限期内，建议您过段时间再来；2、过户车投保时需要验车，暂不支持自行续保；3、系统升级会导致部分地区无法投保车险，若出现页面白屏或超时等情况，您可退出重新登录再尝试一下，或联系您的专属客户经理协助解决。
福利无法领取,"您好，若福利无法领取，您可通过以下方式处理：

1、系统问题，可以先尝试退出APP后重新登陆试一下；
2、APP登录手机号非保单投保人手机号，您可通过APP底部→我的→设置→退出登录，切换其他账号登录即可。"
撤销问题,
代办年检下单后联系时效,您好，代办年检是由第三方服务商提供代办服务的，一般是在与客户约定的时间内处理，具体联系处理时效，您可以联系服务商核实。
车辆六年上线的年检流程,"您好，上线年审与以前的年检程序是相同的，车辆到年审时间后，您需要带上年审材料，将车辆开往监测站办理年审即可。或通过APP首页→ 年检代办 选择专人上门代办，有专业师傅上门取车代您去检测站办理年审。

★温馨提醒：
此信息仅供参考，具体以车管部门现有规定为准。"
保险过期后能否投保,"您好，目前保险没有限制投保时间，您可以选择提前投保或延期投保，提前投保按正常保费计算，但若延期时间超过续保时效，就不再享受续保待遇，建议您一定要及时按期续保哦。

★温馨提醒：
车险在脱保状态下，您的爱车是不能上路的，如果交强险过期被交通部门查到会处以2倍的罚款，出交通事故后保险公司也不负责赔偿。"
能否查询其他车辆违章,您好，只需录入车牌号、车架号和发动机号，就可以查该车辆的违章信息。您可通过APP底部→我的→我的爱车→ 车辆管理 →添加车辆，即可进行违章查询。
福利卡券是否能更改换成其他礼品,您好，福利卡券一般是参与活动获得的，通常无法更换成其他礼品。
如何续保保险,
如何进行意见反馈,您好，若您想对平安的服务提出宝贵的建议或意见，欢迎您通过APP底部→我的→帮助与反馈→ 意见反馈 ，选择类型进行反馈。
每月礼包如何领取,您好，您可通过APP底部→我的→每月礼包，即可领取相应的权益。
批改保单通讯信息途径,"您好，平安好车主在线批改保单通讯信息途径如下：

您可通过APP首页→查保单→ 信息修改 →选择险别（商业险、交强险）→人员信息修改，根据页面提示完成后续步骤。

★温馨提醒：
1、当交强险和商业险人员信息不一致时，需在进入后选择对应的保单进行批改；
2、针对深圳地区投保客户，涉及对投保人和被保人的关键信息批改时，需采用现场受理方式进行批改，不支持客户自助操作，故关闭平安好车主APP中的部分自助批改功能，如有不便，请谅解。"
发送报价明细说明,"您好，平安好车主暂不支持发送报价短信，您可通过APP首页→ 买车险 查看车险报价；或通过APP底部→找保险，查看其他险种报价。

★温馨提醒：
若需要报价明细短信，您可联系专属客户经理报价后，核实是否触发报价短信。"
保单信息修改,
车险报价高的原因,您好，车险报价高常见原因如下：1、新车第一次投保；2、保险脱保超时（具体以机构为准）；3、上年多次出险或有交通违法违规行为。
人工客服排队说明,"您好，由于当前咨询人数过多，人工坐席正忙，请您耐心等待，给您带来不便非常抱歉，有任何问题可先咨询安安哦~

★温馨提醒：
若中途退出排队，再次转人工是会重新排队的。"
配送时效,
机动车交强险的保险责任是什么,"您好，交强险的保险责任如下：

在中华人民共和国境内（不含中国港澳台地区），被保险人在使用被保险机动车过程中发生交通事故，致使受害人遭受人身伤亡或者财产损失，依法应当由被保险人承担的损害赔偿责任，保险人按照交强险合同的约定对每次事故在赔偿限额内负责赔偿。

 ★温馨提醒：
交强险合同中的受害人不包括被保险机动车本车车上人员、被保险人。"
会员等级评定方式,"您好，会员等级是基于用户完成平台活跃任务、每月活跃次数、使用服务而累计获取成长值所决定，达到相应的等级分段即可升级。

★温馨提醒：
若有疑问，可点击 会员规则 查看。"
加油卡充值后钱没到账,"您好，加油卡充值后钱没到账： 

1、请您核对充值的油卡卡号是否正确；
2、加油卡充值后，需要先到加油站圈存后，充值的金额才会到卡里，充值后一般3天内到账。每日22:30至次日凌晨2:00为官方结算时间，此段时间建议不要充值，可能产生延迟，请选择其他时间段进行充值。

★温馨提醒：
每个月月初供应商系统维护，充值时效会有延迟，为3-5天。"
理赔进度催促,您好，您可通过APP首页→ 办理赔/报保险 →车险理赔/非车险理赔→赔案查询→查询理赔员信息，即可联系理赔员催促理赔进度。
怎么改配送信息,
找不到我的汽车车型,"您好，找不到车型的原因有：

1、进口车型（车架号非L开头的），行驶证上载明的品牌车型是车架号的前8位，输入车型时需要按照合格证上载明的具体品牌型号；
2、国产车型（车架号L开头的），输入行驶证载明的品牌型号上全部的字母和数字，如果有汉字“牌”可以省略汉字，符合的就可以进入报价了；
3、如果以上两种情况都不是，请您核对一下您的车型和使用性质，目前网上仅支持9座以下（含9座）非营业家庭乘用车的报价与投保，公司车、货车、摩托车、农用车、营运车都不能在网上投保、报价；
4、如果您的车辆符合该条件但还是无法找到，请将车辆信息反馈给我们，以便我们及时进行改善，为您的爱车提供投保服务。 点此反馈 。"
审核时效,
没有事故证明如何理赔,您好，被保险人申请索赔时，应向保险人提交能证明事故原因、性质、责任划分和损失确定等的书面材料。若实在无事故证明，需要联系查勘员协助处理。
加油卡无法使用,"您好，若加油卡无法使用，您可按以下方式处理：

1、加油卡充值失败或无法加油，建议您联系加油服务供应商；
2、加油券需在有效期内使用，您可通过APP首页→用卡券，核实卡券有效期。

油卡充值联系方式：
湖北宽通：4001561880；中石化：95105888/95105988；中石油：95504
优惠加油联系方式：
团油：4000835999；滴滴加油：4000650888转1-1-2"
话费充值提示“当前充值通道拥挤，请明日再试”,您好，若话费充值时提示当前充值通道拥挤，请明日再试，是由于充值用户较多，供应商充值系统不稳定，建议您次日再来充值，非常抱歉，给您带来不便。
无法支付,
保障意外的险种,"您好，意外伤害险简称意外险，是以被保险人的身体作为保险标的，以被保险人因遭受意外伤害而造成的死亡、残疾、医疗费用支出或暂时丧失劳动能力为给付保险金条件的保险。

为您推荐以下产品，快点击了解下吧??"
新车在线录牌的路径,"您好，平安好车主新车在线录牌，可通过 信息修改 →选择险别（商业险、交强险）→新车上牌，即可根据提示进入信息修改页面。

★温馨提醒：
在深圳4S店（车行）购买的新车需要批改为非粤B牌照时，需将车辆开往深圳门店。"
门店预约订单查询途径,
可以提前多久投保,您好，根据条例规定，全国大部分地区车险支持提前30天续保出单，非车险一般是提前1-2个月续保出单，具体是根据您投保的城市当地政策而定。
理赔报案,"您好，您可通过APP首页→ 办理赔/报保险 →我要报案，可以在线报案处理。

★温馨提醒：
外籍人士报案时，在证件类型一栏切换证件类型且手机号一栏填写大陆手机号，请尽可能避免为他人报案。"
理赔处理时效,您好，根据车险案件的复杂程度不同，车险理赔过程耗时会有所差异，在理赔材料递交齐全的情况下，理赔金额较小的案件， 一般资料审核时长在3-5个工作日，大额案件审核时长将视案件复杂难易程度而定， 资料审核完成后，我们将依据保险合同，与您确认理赔款。一般结案后，赔款会在3个工作日内支付到账。
未到账,
平安好车主信用卡申请进度查询,您好，若您要查询平安好车主信用卡的申请进度，可点击 信用卡 →办卡进度，按页面提示操作即可查询。
批改保单车辆信息途径,"您好，您可以通过APP首页→查保单→ 信息修改 →选择险别（商业险、交强险）→车辆信息修改，根据页面提示完成后续步骤。

★温馨提醒：
1、保单车辆信息需与行驶证保持一致，若同时修改车架号和发动机号，可点击 门店预约 咨询办理；
2、在深圳4S店（车行）购买的新车需要批改为非粤B牌照时，需将车辆开往深圳门店办理。"
理赔款什么时候到账？,"您好，理赔款到账时效如下：

1、赔款直接支付给被保险人的，且被保险人是个人的，且赔款金额在5万元以下的，可以采用实时支付，一般操作支付后几分钟就会到账；
2、非上述情况要3个工作日到账。若是在节假日后案件积压较大时可能稍微晚几天到账；
3、结案金额大于5万的情况下，到账时间稍微拉长一点，因为银行转账问题可能会延误，希望您可以耐心等待，我们也会及时跟踪案件支付情况。"
保单配送地址更换,"您好，您可通过APP首页→查保单→更多→配送查询 ，查看物流状态，当状态为“待处理”、配送方式为“配送+邮寄”时，您可直接点击“修改地址”更新配送信息。

★温馨提醒：
若无法修改时，建议您联系专属客户经理核实。"
费用说明,
判断能否理赔,"由于不同的险种保障的范围不同，无法直接确认能否理赔，您可通过以下方式了解是否可以赔付：

1、联系理赔人员咨询；
2、在产品投保页面查看保险责任和免责条款。"
车险非事故免费救援的申请途径,您好，若您车子没电了需要搭电或需要拖车救援，可点击 道路救援 ，根据系统定位您的所在地，或在“请确认救援地址”下方，输入您的具体地址申请救援。★温馨提醒：车子没油，选择“故障拖车”，我们会将车辆拖至就近加油站进行加油，单程拖车公里数不超过50公里。
划痕补漆地址查询,您好，若您有补漆卡券，可通过APP底部→我的→ 我的卡券 →选择对应卡券，即可查看门店地址和营业时间及联系方式。其它补漆地址可点击下方图片查看。
如何查询,
报案客服热线,您好，平安为您提供24小时报案通道，您可通过平安好车主首页→办理赔/报保险→点击 我要报案 即可提交报案信息，提交成功后5分钟内理赔员会与您联系；或拨打平安95511热线进行报案。
车险保养服务咨询,
福利券异地使用说明,您好，车险投保服务是由投保城市合作商与平安共同推出，可使用地址都是有指定性的，只能在当地使用。
绑定车辆类型,"您好，目前APP支持小型车、大型车、小型新能源、大型新能源、教练车、港澳车辆绑车。暂不支持军、警、使、领、挂、试、临时及个性化车牌绑车。

★温馨提醒：
APP有绑定车辆数限制，若超过则无法绑车。"
如何查看卡券,您好，您可通过APP底部→我的→ 我的卡券 即可查询账户内卡券。
药诊卡的有效期是多久,药诊卡有效期请以卡券显示为准。
APP定位信息有误,您好，APP首页顶端的定位功能是根据客户所在地级城市而显示，如果显示不在当前的城市可能是因为信号的原因导致的，您手动选择当前地级城市。
怎样在兑换专区找到想要的商品和服务,"您好，您可以通过以下步骤进行查找：

1、在APP底部→我的→我的积分→“热兑榜单”或者“积分兑好物”中选择喜欢的商品，点击即可查看该商品详情介绍；
2、点击“全部分类”可查看所有商品、服务分类，选择分类会显示所有该类别上的商品或服务。点击您感兴趣的商品或服务即可查看详情介绍；
3、点击“搜索”框，选择搜索商品或服务，输入关键词进行搜索。"
兑换专区商品兑换流程,
卡券不能使用如何处理,"您好，若卡券不能使用，您可通过以下方式处理：

1、系统问题，可以先尝试退出APP后重新登陆试一下；
2、卡券需在有效期内使用，您可通过APP首页→ 用卡券 ，核实卡券有效期。

★温馨提醒：
卡券使用前，请先查看使用说明，部分卡券仅支持固定商家使用。"
洗车券无法查询的处理方式,"您好，若您的洗车券无法查询，您可通过以下方式处理：

1、系统问题，可以先尝试退出APP后重新登陆试一下；
2、APP登录手机号非保单投保人手机号，您可通过APP底部→我的→设置→退出登录，切换其他账号登录即可。"
保险发票的获取方式,"您好，目前全国范围均已实施电子发票，您可点击 电子发票 → 选择“车险”或“财产意外险”后，即可查看、分享或者下载电子发票。

★温馨提醒：
1、电子发票和纸质发票两种只能二选一。若已开具其一的，将不能再开具另一种发票；
2、免费获取的财产或意外类保险，无法开具电子发票；
3、团体险保单发票可下载平安企业宝，通过企业宝首页→保单查询→选择对应保单下方“电子发票”，即可查看及下载；
4、已过期保单无法查询电子发票。"
车险福利配送地址变更,您好，目前无法直接更改您的配送信息，如有需要，您可直接联系车险专属客户经理为您服务。
如何批改车牌,
车险快速理赔的条件,您好，车险快处快赔的条件： 是各地交通管理部门联合保险公司共同制定，通常情况下适合损失轻微，事故责任明确，并且能够正常行驶的双车或多车纯车损案件，单车损失金额也有一定的要求，因各地情况不同，具体条件请联系各地交通管理部门确认，如有疑问您也可以咨询保险公司查勘员，谢谢。
在线问诊入口,"您好，您可通过如下方式进入在线问诊：

1、若有问诊卡券，可通过APP底部→我的→我的卡券→在线问诊→去使用→问医生，即可问诊；
2、可直接点击 问医生 →在线问诊。"
保险无法付款怎么办,您好，无法付款常见原因：1、网络连接异常，您可切换网络环境试下；2、订单未审核通过，您可联系专属客服处理；3、支付失败，建议您更换投保人本人银行卡支付。若非以上问题，您可提供截屏等信息提交专员核实处理哦。
保险期限查询,"您好，查询保险期限方式如下：

1、您可点击 电子保单 →选择对应险种，进行保险期限查询；
2、若还未投保，车险保险期限为1年，非车险可通过保险详情页面，点击下方《投保须知》即可查询。

★温馨提醒：
团体（企业）名义购买，请下载 企业宝 查询。"
出险后没人联系,您好，如果您报案成功后没有人与您联系，可通过APP首页→ 办理赔/报保险 →根据案件类型进入【车险案件】或【非车险案件】，查看您的案件和理赔员信息，主动与理赔员联系哦。
退款,
保险报案后续处理流程,"您好，若您已经报案成功，您可通过APP首页→ 办理赔/报保险 →根据案件类型进入【车险案件】或【非车险案件】，选择对应案件查看所属案件的后续操作指引。

★温馨提醒：
您可以先上传一部分理赔材料，也可以等全部处理好后再一起上传。"
新车批改车牌其他证明是什么,您好，新车批改车牌时若无其他证明，提供行驶证即可。
芒果TV免广告会员卡使用说明,"您好，关于芒果TV免广告会员7天卡的使用说明如下：

1、获取券码后，请至活动页面输入兑换码及验证码https://L-11.cn/PA；
2、在兑换成功页输入手机号领取新会员7天卡；
3、输入手机号及短信验证码，完成芒果TV7天卡领取；
4、参与活动的用户可领取7天芒果TV体验会员(安卓/iPhone/ipad可享受免广告特权，各App终端可享受蓝光特权)，数量有限，领完即止；
5、芒果TV会员领取后当天生效，并直接充值到该手机号对应的芒果TV账号上。如果该手机号没有芒果TV账号，则会自动生成一个芒果TV账号，并将初始密码以短信的形式发送到该手机号上；
6、本次活动每位用户限领一次，同一手机号、同一设备均视为同一用户；
7、电子券兑换问题可联系客服4000182010处理；
8、如有疑问，请关注微信公众号“芒果TV会员”咨询。"
加油站地址查询,"您好，加油站地址查询的方式如下：

1、您可通过APP首页→优惠加油→ 附近加油站 ，即可查询；
2、查询加油福利券使用网点，可通过APP底部→我的→ 我的卡券 ，选择加油优惠券，进入油站详情页，即可查询。"
代办费用,
业务员代码查询,您好，目前业务员代码信息无法查询，如有需要可以拨打95511-5核实，如需验证业务员工号，可 点击这里 进行查询。
卖家不发货怎么办？,您好，若卖家长时间未发货，您可点击订单详情页“联系商家”，让商家帮您加急处理下。★温馨提醒：因疫情影响，部分地区暂时无法发货，带来不便敬请谅解。
车险险种分类,"您好，车险险种有：

1、机动车交通强制保险（简称交强险）；
2、20年示范条款商业险险种分别为：
（1）主险：机动车损失保险、机动车第三者责任保险、机动车车上人员责任保险；
（2）附加险：车身划痕损失险、新增加设备损失、车上货物、精神损害抚慰金、法定节假日限额翻倍、修理期间费用补偿、绝对免赔率、发动机进水损坏除外、车轮单独损失、附加医保外用药、机动车增值服务特约条款。"
