平安百万交通出行意外属于什么险种	本产品属于健康险
吃货无忧险	本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
介绍一下吃货无忧险	本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
说说吃货无忧险	本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
吃货无忧险属于什么险种	本产品属于意外险
吃货无忧险对投保性别有什么要求吗	您好，本产品男女皆可投保
吃货无忧险有什么亮点吗	5元/月，可保高达8000元的急性肠胃炎
吃货无忧险有什么特色吗	5元/月，可保高达8000元的急性肠胃炎
吃货无忧险最大的优势	5元/月，可保高达8000元的急性肠胃炎
吃货无忧险的最大亮点	5元/月，可保高达8000元的急性肠胃炎
吃货无忧险的投保年龄要求	您好，本产品的承保年龄是6-65周岁
吃货无忧险的投保年龄不超过几岁	您好，本产品的承保年龄是6-65周岁
吃货无忧险多大才可以投保	您好，本产品的承保年龄是6-65周岁
吃货无忧险年龄是否有限制	您好，本产品的承保年龄是6-65周岁
吃货无忧险的保障期限是多久	您好，本产品的投保期限为1个月
吃货无忧险可以保障多久时间	您好，本产品的投保期限为1个月
吃货无忧险的价格区间	您好，本产品的最低保费是5.0元
吃货无忧险的投保价格区间	您好，本产品的最低保费是5.0元
吃货无忧险的收费标准	您好，本产品的最低保费是5.0元
吃货无忧险的保障范围	您好，吃货无忧险的保障责任及保额：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
吃货无忧险的保障内容	您好，吃货无忧险的保障责任及保额：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
吃货无忧险标的的内容	您好，吃货无忧险的保障责任及保额：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
吃货无忧险的责任	您好，吃货无忧险的保障责任及保额：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
吃货无忧险的保额	您好，吃货无忧险的保障责任及保额：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
吃货无忧险	本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
介绍一下吃货无忧险	本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
说说吃货无忧险	本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）
平安守护·少儿意外险(互联网版)属于什么险种	本产品属于意外险
平安守护·少儿意外险(互联网版)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安守护·少儿意外险(互联网版)有什么亮点吗	保障萌宝意外事故导致的身故及伤残
平安守护·少儿意外险(互联网版)有什么特色吗	保障萌宝意外事故导致的身故及伤残
平安守护·少儿意外险(互联网版)最大的优势	保障萌宝意外事故导致的身故及伤残
平安守护·少儿意外险(互联网版)的最大亮点	保障萌宝意外事故导致的身故及伤残
平安守护·少儿意外险(互联网版)的投保年龄要求	您好，本产品的承保年龄是28天-17周岁
平安守护·少儿意外险(互联网版)的投保年龄不超过几岁	您好，本产品的承保年龄是28天-17周岁
平安守护·少儿意外险(互联网版)多大才可以投保	您好，本产品的承保年龄是28天-17周岁
平安守护·少儿意外险(互联网版)年龄是否有限制	您好，本产品的承保年龄是28天-17周岁
平安守护·少儿意外险(互联网版)的保障期限是多久	您好，本产品的投保期限为1年
平安守护·少儿意外险(互联网版)可以保障多久时间	您好，本产品的投保期限为1年
平安守护·少儿意外险(互联网版)的价格区间	您好，本产品的最低保费是98.0元
平安守护·少儿意外险(互联网版)的投保价格区间	您好，本产品的最低保费是98.0元
平安守护·少儿意外险(互联网版)的收费标准	您好，本产品的最低保费是98.0元
平安守护·少儿意外险(互联网版)的保障范围	您好，平安守护·少儿意外险(互联网版)的保障责任及保额：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
平安守护·少儿意外险(互联网版)的保障内容	您好，平安守护·少儿意外险(互联网版)的保障责任及保额：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
平安守护·少儿意外险(互联网版)标的的内容	您好，平安守护·少儿意外险(互联网版)的保障责任及保额：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
平安守护·少儿意外险(互联网版)的责任	您好，平安守护·少儿意外险(互联网版)的保障责任及保额：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
平安守护·少儿意外险(互联网版)的保额	您好，平安守护·少儿意外险(互联网版)的保障责任及保额：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
平安守护·少儿意外险(互联网版)	本产品男女皆可投保，属于意外险，投保年龄要求为28天-17周岁，最低98.0元即可投保，主要承保责任为：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
介绍一下平安守护·少儿意外险(互联网版)	本产品男女皆可投保，属于意外险，投保年龄要求为28天-17周岁，最低98.0元即可投保，主要承保责任为：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
说说平安守护·少儿意外险(互联网版)	本产品男女皆可投保，属于意外险，投保年龄要求为28天-17周岁，最低98.0元即可投保，主要承保责任为：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）
平安车主意外保障属于什么险种	本产品属于意外险
平安车主意外保障对投保性别有什么要求吗	您好，本产品男女皆可投保
平安车主意外保障有什么亮点吗	一天不到5毛钱，车上车下时时保。
平安车主意外保障有什么特色吗	一天不到5毛钱，车上车下时时保。
平安车主意外保障最大的优势	一天不到5毛钱，车上车下时时保。
平安车主意外保障的最大亮点	一天不到5毛钱，车上车下时时保。
平安车主意外保障的投保年龄要求	您好，本产品的承保年龄是18-65周岁
平安车主意外保障的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
平安车主意外保障多大才可以投保	您好，本产品的承保年龄是18-65周岁
平安车主意外保障年龄是否有限制	您好，本产品的承保年龄是18-65周岁
平安车主意外保障的保障期限是多久	您好，本产品的投保期限为1年
平安车主意外保障可以保障多久时间	您好，本产品的投保期限为1年
平安车主意外保障的价格区间	您好，本产品的最低保费是180.0元
平安车主意外保障的投保价格区间	您好，本产品的最低保费是180.0元
平安车主意外保障的收费标准	您好，本产品的最低保费是180.0元
平安车主意外保障的保障范围	您好，平安车主意外保障的保障责任及保额：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
平安车主意外保障的保障内容	您好，平安车主意外保障的保障责任及保额：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
平安车主意外保障标的的内容	您好，平安车主意外保障的保障责任及保额：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
平安车主意外保障的责任	您好，平安车主意外保障的保障责任及保额：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
平安车主意外保障的保额	您好，平安车主意外保障的保障责任及保额：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
平安车主意外保障	本产品男女皆可投保，属于意外险，投保年龄要求为18-65周岁，最低180.0元即可投保，主要承保责任为：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
介绍一下平安车主意外保障	本产品男女皆可投保，属于意外险，投保年龄要求为18-65周岁，最低180.0元即可投保，主要承保责任为：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
说说平安车主意外保障	本产品男女皆可投保，属于意外险，投保年龄要求为18-65周岁，最低180.0元即可投保，主要承保责任为：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）
平安行境内一年期出行险（互联网版）属于什么险种	本产品属于意外险
平安行境内一年期出行险（互联网版）对投保性别有什么要求吗	您好，本产品男女皆可投保
平安行境内一年期出行险（互联网版）有什么亮点吗	全年不限次随心游！
平安行境内一年期出行险（互联网版）有什么特色吗	全年不限次随心游！
平安行境内一年期出行险（互联网版）最大的优势	全年不限次随心游！
平安行境内一年期出行险（互联网版）的最大亮点	全年不限次随心游！
平安行境内一年期出行险（互联网版）的投保年龄要求	您好，本产品的承保年龄是0-80周岁
平安行境内一年期出行险（互联网版）的投保年龄不超过几岁	您好，本产品的承保年龄是0-80周岁
平安行境内一年期出行险（互联网版）多大才可以投保	您好，本产品的承保年龄是0-80周岁
平安行境内一年期出行险（互联网版）年龄是否有限制	您好，本产品的承保年龄是0-80周岁
平安行境内一年期出行险（互联网版）的保障期限是多久	您好，本产品的投保期限为1年
平安行境内一年期出行险（互联网版）可以保障多久时间	您好，本产品的投保期限为1年
平安行境内一年期出行险（互联网版）的价格区间	您好，本产品的最低保费是66.0元
平安行境内一年期出行险（互联网版）的投保价格区间	您好，本产品的最低保费是66.0元
平安行境内一年期出行险（互联网版）的收费标准	您好，本产品的最低保费是66.0元
平安行境内一年期出行险（互联网版）的保障范围	您好，平安行境内一年期出行险（互联网版）的保障责任及保额：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
平安行境内一年期出行险（互联网版）的保障内容	您好，平安行境内一年期出行险（互联网版）的保障责任及保额：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
平安行境内一年期出行险（互联网版）标的的内容	您好，平安行境内一年期出行险（互联网版）的保障责任及保额：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
平安行境内一年期出行险（互联网版）的责任	您好，平安行境内一年期出行险（互联网版）的保障责任及保额：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
平安行境内一年期出行险（互联网版）的保额	您好，平安行境内一年期出行险（互联网版）的保障责任及保额：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
平安行境内一年期出行险（互联网版）	本产品男女皆可投保，属于意外险，投保年龄要求为0-80周岁，最低66.0元即可投保，主要承保责任为：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
介绍一下平安行境内一年期出行险（互联网版）	本产品男女皆可投保，属于意外险，投保年龄要求为0-80周岁，最低66.0元即可投保，主要承保责任为：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
说说平安行境内一年期出行险（互联网版）	本产品男女皆可投保，属于意外险，投保年龄要求为0-80周岁，最低66.0元即可投保，主要承保责任为：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）
平安E生平安·孝心保(尊享款)属于什么险种	本产品属于健康险
平安E生平安·孝心保(尊享款)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安E生平安·孝心保(尊享款)有什么亮点吗	老年人专属医疗保险
平安E生平安·孝心保(尊享款)有什么特色吗	老年人专属医疗保险
平安E生平安·孝心保(尊享款)最大的优势	老年人专属医疗保险
平安E生平安·孝心保(尊享款)的最大亮点	老年人专属医疗保险
平安E生平安·孝心保(尊享款)的投保年龄要求	您好，本产品的承保年龄是60-80周岁
平安E生平安·孝心保(尊享款)的投保年龄不超过几岁	您好，本产品的承保年龄是60-80周岁
平安E生平安·孝心保(尊享款)多大才可以投保	您好，本产品的承保年龄是60-80周岁
平安E生平安·孝心保(尊享款)年龄是否有限制	您好，本产品的承保年龄是60-80周岁
平安E生平安·孝心保(尊享款)的保障期限是多久	您好，本产品的投保期限为1年
平安E生平安·孝心保(尊享款)可以保障多久时间	您好，本产品的投保期限为1年
平安E生平安·孝心保(尊享款)的价格区间	您好，本产品的最低保费是2327.0元
平安E生平安·孝心保(尊享款)的投保价格区间	您好，本产品的最低保费是2327.0元
平安E生平安·孝心保(尊享款)的收费标准	您好，本产品的最低保费是2327.0元
平安E生平安·孝心保(尊享款)的保障范围	您好，平安E生平安·孝心保(尊享款)的保障责任及保额：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
平安E生平安·孝心保(尊享款)的保障内容	您好，平安E生平安·孝心保(尊享款)的保障责任及保额：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
平安E生平安·孝心保(尊享款)标的的内容	您好，平安E生平安·孝心保(尊享款)的保障责任及保额：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
平安E生平安·孝心保(尊享款)的责任	您好，平安E生平安·孝心保(尊享款)的保障责任及保额：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
平安E生平安·孝心保(尊享款)的保额	您好，平安E生平安·孝心保(尊享款)的保障责任及保额：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
平安E生平安·孝心保(尊享款)	本产品男女皆可投保，属于健康险，投保年龄要求为60-80周岁，最低2327.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
介绍一下平安E生平安·孝心保(尊享款)	本产品男女皆可投保，属于健康险，投保年龄要求为60-80周岁，最低2327.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
说说平安E生平安·孝心保(尊享款)	本产品男女皆可投保，属于健康险，投保年龄要求为60-80周岁，最低2327.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）
平安家财宝保障计划属于什么险种	本产品属于财产险
平安家财宝保障计划对投保性别有什么要求吗	您好，本产品男女皆可投保
平安家财宝保障计划有什么亮点吗	全面保障您的爱家安全！
平安家财宝保障计划有什么特色吗	全面保障您的爱家安全！
平安家财宝保障计划最大的优势	全面保障您的爱家安全！
平安家财宝保障计划的最大亮点	全面保障您的爱家安全！
平安家财宝保障计划的投保年龄要求	您好，本产品的承保年龄是0-80周岁
平安家财宝保障计划的投保年龄不超过几岁	您好，本产品的承保年龄是0-80周岁
平安家财宝保障计划多大才可以投保	您好，本产品的承保年龄是0-80周岁
平安家财宝保障计划年龄是否有限制	您好，本产品的承保年龄是0-80周岁
平安家财宝保障计划的保障期限是多久	您好，本产品的投保期限为1年
平安家财宝保障计划可以保障多久时间	您好，本产品的投保期限为1年
平安家财宝保障计划的价格区间	您好，本产品的最低保费是100.0元
平安家财宝保障计划的投保价格区间	您好，本产品的最低保费是100.0元
平安家财宝保障计划的收费标准	您好，本产品的最低保费是100.0元
平安家财宝保障计划的保障范围	您好，平安家财宝保障计划的保障责任及保额：平安家庭财（50万 ）、平安家庭财产保障（10万 ）、室内财产保障（5万 ）、居家责任险（- ）、盗抢损失（- ）、水暖管爆裂损失（- ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 50万 ）、平安家庭财产保障（ 10万 ）、室内财产保障（ 5万 ）、居家责任险（ 3万 ）、盗抢损失（ 1万 ）、水暖管爆裂损失（ 1万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）、平安家庭财（ 100万 ）、平安家庭财产保障（20万 ）、室内财产保障（10万 ）、居家责任险（10万 ）、盗抢损失（5万 ）、水暖管爆裂损失（3万 ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 300万 ）、平安家庭财产保障（ 50万 ）、室内财产保障（ 20万 ）、居家责任险（ 20万 ）、盗抢损失（ 10万 ）、水暖管爆裂损失（ 5万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）
平安家财宝保障计划的保障内容	您好，平安家财宝保障计划的保障责任及保额：平安家庭财（50万 ）、平安家庭财产保障（10万 ）、室内财产保障（5万 ）、居家责任险（- ）、盗抢损失（- ）、水暖管爆裂损失（- ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 50万 ）、平安家庭财产保障（ 10万 ）、室内财产保障（ 5万 ）、居家责任险（ 3万 ）、盗抢损失（ 1万 ）、水暖管爆裂损失（ 1万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）、平安家庭财（ 100万 ）、平安家庭财产保障（20万 ）、室内财产保障（10万 ）、居家责任险（10万 ）、盗抢损失（5万 ）、水暖管爆裂损失（3万 ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 300万 ）、平安家庭财产保障（ 50万 ）、室内财产保障（ 20万 ）、居家责任险（ 20万 ）、盗抢损失（ 10万 ）、水暖管爆裂损失（ 5万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）
平安家财宝保障计划标的的内容	您好，平安家财宝保障计划的保障责任及保额：平安家庭财（50万 ）、平安家庭财产保障（10万 ）、室内财产保障（5万 ）、居家责任险（- ）、盗抢损失（- ）、水暖管爆裂损失（- ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 50万 ）、平安家庭财产保障（ 10万 ）、室内财产保障（ 5万 ）、居家责任险（ 3万 ）、盗抢损失（ 1万 ）、水暖管爆裂损失（ 1万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）、平安家庭财（ 100万 ）、平安家庭财产保障（20万 ）、室内财产保障（10万 ）、居家责任险（10万 ）、盗抢损失（5万 ）、水暖管爆裂损失（3万 ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 300万 ）、平安家庭财产保障（ 50万 ）、室内财产保障（ 20万 ）、居家责任险（ 20万 ）、盗抢损失（ 10万 ）、水暖管爆裂损失（ 5万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）
