product,answers
平安产险恶性肿瘤特定药品费用医疗保险(互联网版),"['平安产险恶性肿瘤特定药品费用医疗保险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为0-60周岁，主要承保责任为：恶性肿瘤（50万）', '我怎么才可以申请特药服务？', '在本保险产品合同保险期间内，被保险人于等待期后初次发生并经约定医院确诊符合条款【释义】的恶性肿瘤，在该恶性肿瘤的治疗过程中，约定医院专科医生开具了指定的药品清单范围内的药品处方，且该特种药品符合国家药品监督管理局批准的药品说明书中所列明的适应症及用法用量的，可以申请特药服务，在本公司指定或认可的药店购买上述药品处方中所列明的药品。', '我需要准备哪些材料？', '服务申请成功后，会有服务专员联系您并协助您走服务流程的。', '相对比传统的放化疗，特药靶向治疗有什么优点？', '一、副作用小，相比于常规的放疗和化疗，靶向治疗有的放矢，毒副作用较小，尤其适用于晚期病人或无法耐受放、化疗的患者；二、针对性强，靶向药物进入体内会特异性地选择致癌位点来相结合发生作用，使肿瘤细胞特异性死亡；三、使用便捷，部分靶向药物为口服药物，服用方便，无需住院，服用过程中随时联系医生反馈，及时调整药量，避免长期反复入院，可减轻患者负担。', '通常有哪些情况特药处方申请审核不通过？', '通常在有下列情况时，处方审核不通过：一药品处方与国家药监局批准的药品说明书中的适应症及用法用量不一致；二客户使用处方药品有一段时间，确定对该药品已经耐药，包括以下两种情况之一：1实体肿瘤病灶按照实体瘤治疗疗效评价标准出现疾病进展。2非实体肿瘤（白血病等恶性肿瘤）经规范治疗后，按相关专业机构（中国临床肿瘤学会等）的指南规范，对患者的特定基因检测等结果进行综合评价，出现疾病进展。', '指定的药房能覆盖到我所在的城市吗？', '本公司指定的合作药房覆盖了30个省份，250个城市，并且支持通过送药上门的方式进行药品配送，满足所有地区的药品供应。']"
乐宠医疗险,"['乐宠医疗险', '本产品男女皆可投保，属于财产险，投保年龄要求为1-8周岁宠物，主要承保责任为：宠物意外疾病医疗责任（1000元）']"
乐宠医疗险,"['乐宠医疗险', '本产品男女皆可投保，属于财产险，投保年龄要求为1-8周岁宠物，主要承保责任为：宠物意外疾病医疗责任（1000元）']"
平安产险恶性肿瘤特定药品费用医疗保险(互联网版),"['平安产险恶性肿瘤特定药品费用医疗保险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为0-60周岁，主要承保责任为：恶性肿瘤（50万）', '我怎么才可以申请特药服务？', '在本保险产品合同保险期间内，被保险人于等待期后初次发生并经约定医院确诊符合条款【释义】的恶性肿瘤，在该恶性肿瘤的治疗过程中，约定医院专科医生开具了指定的药品清单范围内的药品处方，且该特种药品符合国家药品监督管理局批准的药品说明书中所列明的适应症及用法用量的，可以申请特药服务，在本公司指定或认可的药店购买上述药品处方中所列明的药品。', '我需要准备哪些材料？', '服务申请成功后，会有服务专员联系您并协助您走服务流程的。', '相对比传统的放化疗，特药靶向治疗有什么优点？', '一、副作用小，相比于常规的放疗和化疗，靶向治疗有的放矢，毒副作用较小，尤其适用于晚期病人或无法耐受放、化疗的患者；二、针对性强，靶向药物进入体内会特异性地选择致癌位点来相结合发生作用，使肿瘤细胞特异性死亡；三、使用便捷，部分靶向药物为口服药物，服用方便，无需住院，服用过程中随时联系医生反馈，及时调整药量，避免长期反复入院，可减轻患者负担。', '通常有哪些情况特药处方申请审核不通过？', '通常在有下列情况时，处方审核不通过：一药品处方与国家药监局批准的药品说明书中的适应症及用法用量不一致；二客户使用处方药品有一段时间，确定对该药品已经耐药，包括以下两种情况之一：1实体肿瘤病灶按照实体瘤治疗疗效评价标准出现疾病进展。2非实体肿瘤（白血病等恶性肿瘤）经规范治疗后，按相关专业机构（中国临床肿瘤学会等）的指南规范，对患者的特定基因检测等结果进行综合评价，出现疾病进展。', '指定的药房能覆盖到我所在的城市吗？', '本公司指定的合作药房覆盖了30个省份，250个城市，并且支持通过送药上门的方式进行药品配送，满足所有地区的药品供应。']"
平安新春家财保,"['平安新春家财保', '本产品男女皆可投保，属于财产险，投保年龄要求为16-80周岁，最低19.9元即可投保，主要承保责任为：房屋装修损失保障（2万）、居家第三者人身伤害（2万）、房屋主体损失保障（20万）']"
爱员宝,"['爱员宝', '本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保']"
平安爱员宝(6月专属),"['平安爱员宝(6月专属)', '本产品男女皆可投保，属于小微，投保年龄要求为18-65']"
顾客安心保·公众责任险,"['顾客安心保·公众责任险', '本产品男女皆可投保，属于意外险，投保年龄要求为18-65岁，最低1000.0元即可投保']"
平安跑步意外险(互联网版),"['平安跑步意外险(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为16周岁-65周岁，最低0.3元即可投保，主要承保责任为：特定活动期间意外身故、伤残（990元）、特定活动期间意外医疗费用（10元）']"
平安乐活·女性夜间出行保障（互联网版）,"['平安乐活·女性夜间出行保障（互联网版）', '本产品只允许女性投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：特定期间意外伤害医疗（1000元）、特定期间意外身故和伤残（50000元）']"
平安免费重疾保障(互联网版),"['平安免费重疾保障(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为8-50周岁，主要承保责任为：重大疾病保险金（3000元）', '这款产品保障范围是什么？', '本产品对人一生中可能罹患的30种重大疾病提供保障。自保险期间开始且等待期（30天）满之日起，至保险期间终止之日止，被保险人经符合本保险合同释义约定的医院初次确诊罹患本保险合同释义规定的重大疾病的（无论一种或多种），保险人按重大疾病保险金额给付重大疾病保险金，本保险合同终止。被保险人因意外伤害导致其患重大疾病的，无等待期。', '在哪些医院治疗，可以获得理赔？', '医院须为我国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。', '什么是等待期，等待期从何时算起？', '自保险合同生效日起30日内为等待期。被保险人在保险期限开始前或等待期内罹患的疾病，我们不承担给付保险金的责任。', '什么样的人群可以投保这个产品？', '您可以为8-50周岁身体健康，且符合健康告知提及状况的本人、配偶、子女和父母投保。当被保险人非本人时，本人确认已告知被保险人或其监护人本产品的相关内容，并已征得其同意投保本产品。', '不同年龄人群购买这款产品，保额是否有限制？', '本产品保额统一为3000元。', '这款产品有犹豫期吗？', '本产品无犹豫期。本产品为赠险，不需要支付保险费，退保不退费。']"
平安守护·全家出行无忧(互联网版),"['平安守护·全家出行无忧(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：飞机意外伤害身故及残疾（100万元）、火车意外伤害身故及残疾（100万元）、轮船意外伤害身故及残疾（10万元）、汽车意外伤害身故及残疾（10万元）、甲乙类传染病身故（10万元）']"
平安乐活·女性夜间出行保障（互联网版）,"['平安乐活·女性夜间出行保障（互联网版）', '本产品只允许女性投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：特定期间意外伤害医疗（1000元）、特定期间意外身故和伤残（50000元）', '如果出行时间在20点前，但意外发生时间在20点后是否赔付？', '可以赔付。', '如果被坏人侵犯是否可以理赔？', '可以赔付。']"
平安产险恶性肿瘤特定药品费用医疗保险(互联网版),"['平安产险恶性肿瘤特定药品费用医疗保险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为0-60周岁，主要承保责任为：恶性肿瘤（50万）', '我怎么才可以申请特药服务？', '在本保险产品合同保险期间内，被保险人于等待期后初次发生并经约定医院确诊符合条款【释义】的恶性肿瘤，在该恶性肿瘤的治疗过程中，约定医院专科医生开具了指定的药品清单范围内的药品处方，且该特种药品符合国家药品监督管理局批准的药品说明书中所列明的适应症及用法用量的，可以申请特药服务，在本公司指定或认可的药店购买上述药品处方中所列明的药品。', '我需要准备哪些材料？', '服务申请成功后，会有服务专员联系您并协助您走服务流程的。', '相对比传统的放化疗，特药靶向治疗有什么优点？', '一、副作用小，相比于常规的放疗和化疗，靶向治疗有的放矢，毒副作用较小，尤其适用于晚期病人或无法耐受放、化疗的患者；二、针对性强，靶向药物进入体内会特异性地选择致癌位点来相结合发生作用，使肿瘤细胞特异性死亡；三、使用便捷，部分靶向药物为口服药物，服用方便，无需住院，服用过程中随时联系医生反馈，及时调整药量，避免长期反复入院，可减轻患者负担。', '通常有哪些情况特药处方申请审核不通过？', '通常在有下列情况时，处方审核不通过：一药品处方与国家药监局批准的药品说明书中的适应症及用法用量不一致；二客户使用处方药品有一段时间，确定对该药品已经耐药，包括以下两种情况之一：1实体肿瘤病灶按照实体瘤治疗疗效评价标准出现疾病进展。2非实体肿瘤（白血病等恶性肿瘤）经规范治疗后，按相关专业机构（中国临床肿瘤学会等）的指南规范，对患者的特定基因检测等结果进行综合评价，出现疾病进展。', '指定的药房能覆盖到我所在的城市吗？', '本公司指定的合作药房覆盖了30个省份，250个城市，并且支持通过送药上门的方式进行药品配送，满足所有地区的药品供应。']"
平安健康金(互联网版),"['平安健康金(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为8-50周岁，主要承保责任为：重大疾病保险金（5000）', '这款产品保障范围是什么？', '本产品对人一生中可能罹患的100种重大疾病提供保障。自保险期间开始且等待期（60天）满之日起，至保险期间终止之日止，被保险人经符合本保险合同释义约定的医院初次确诊罹患本保险合同释义规定的重大疾病的（无论一种或多种），保险人按重大疾病保险金额给付重大疾病保险金，本保险合同终止。被保险人因意外伤害导致其患重大疾病的，无等待期。', '在哪些医院治疗，可以获得理赔？', '医院须为我国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。', '什么是等待期，等待期从何时算起？', '保险合同生效日起60日内为等待期。被保险人在保险期限开始前或等待期内罹患的疾病，我们不承担给付保险金的责任。', '什么样的人群可以投保这个产品？', '您可以为8-50周岁身体健康，且符合健康告知提及状况的本人、配偶、子女和父母投保。当被保险人非本人时，本人确认已告知被保险人或其监护人本产品的相关内容，并已征得其同意投保本产品。', '不同年龄人群购买这款产品，保额是否有限制？', '本产品初始保额为5000元，后续通过健康行活动达标可增加保额，最高保额5万元。', '这款产品有犹豫期吗？', '本产品无犹豫期。本产品为赠险，不需要支付保险费，退保不退费。']"
平安守护·全家出行无忧(互联网版),"['平安守护·全家出行无忧(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：飞机意外伤害身故及残疾（100万元）、火车意外伤害身故及残疾（100万元）、轮船意外伤害身故及残疾（10万元）、汽车意外伤害身故及残疾（10万元）、甲乙类传染病身故（10万元）']"
平安守护·全家出行无忧(互联网版),"['平安守护·全家出行无忧(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：飞机意外伤害身故及残疾（100万元）、火车意外伤害身故及残疾（100万元）、轮船意外伤害身故及残疾（10万元）、汽车意外伤害身故及残疾（10万元）、甲乙类传染病身故（10万元）']"
平安重疾住院津贴险(互联网版),"['平安重疾住院津贴险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为28天-60周岁，主要承保责任为：重大疾病住院津贴（18000元）']"
平安重疾住院津贴险(互联网版),"['平安重疾住院津贴险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为28天-60周岁，主要承保责任为：重大疾病住院津贴（18000元）']"
平安乐活·女性夜间出行保障（互联网版）,"['平安乐活·女性夜间出行保障（互联网版）', '本产品只允许女性投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：特定期间意外伤害医疗（1000元）、特定期间意外身故和伤残（50000元）', '如果出行时间在20点前，但意外发生时间在20点后是否赔付？', '可以赔付。', '如果被坏人侵犯是否可以理赔？', '可以赔付。']"
平安免费重疾保障(互联网版),"['平安免费重疾保障(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为8-50周岁，主要承保责任为：重大疾病保险金（3000元）', '这款产品保障范围是什么？', '本产品对人一生中可能罹患的30种重大疾病提供保障。自保险期间开始且等待期（30天）满之日起，至保险期间终止之日止，被保险人经符合本保险合同释义约定的医院初次确诊罹患本保险合同释义规定的重大疾病的（无论一种或多种），保险人按重大疾病保险金额给付重大疾病保险金，本保险合同终止。被保险人因意外伤害导致其患重大疾病的，无等待期。', '在哪些医院治疗，可以获得理赔？', '医院须为我国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。', '什么是等待期，等待期从何时算起？', '自保险合同生效日起30日内为等待期。被保险人在保险期限开始前或等待期内罹患的疾病，我们不承担给付保险金的责任。', '什么样的人群可以投保这个产品？', '您可以为8-50周岁身体健康，且符合健康告知提及状况的本人、配偶、子女和父母投保。当被保险人非本人时，本人确认已告知被保险人或其监护人本产品的相关内容，并已征得其同意投保本产品。', '不同年龄人群购买这款产品，保额是否有限制？', '本产品保额统一为3000元。', '这款产品有犹豫期吗？', '本产品无犹豫期。本产品为赠险，不需要支付保险费，退保不退费。']"
平安重疾住院津贴险(互联网版),"['平安重疾住院津贴险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为28天-60周岁，主要承保责任为：重大疾病住院津贴（18000元）']"
平安重疾住院津贴险(互联网版),"['平安重疾住院津贴险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为28天-60周岁，主要承保责任为：重大疾病住院津贴（18000元）']"
平安守护·全家出行无忧(互联网版),"['平安守护·全家出行无忧(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：飞机意外伤害身故及残疾（100万元）、火车意外伤害身故及残疾（100万元）、轮船意外伤害身故及残疾（10万元）、汽车意外伤害身故及残疾（10万元）、甲乙类传染病身故（10万元）']"
平安跑步意外险（互联网版）,"['平安跑步意外险（互联网版）', '本产品男女皆可投保，属于意外险，投保年龄要求为16周岁-65周岁，最低0.3元即可投保，主要承保责任为：特定活动期间意外身故、伤残（990元）、特定活动期间意外医疗费用（10元）']"
平安跑步意外险（互联网版）,"['平安跑步意外险（互联网版）', '本产品男女皆可投保，属于意外险，投保年龄要求为16周岁-65周岁，最低0.3元即可投保，主要承保责任为：特定活动期间意外身故、伤残（990元）、特定活动期间意外医疗费用（10元）']"
